date, IPclient, PORTclient, IPserver, PORTserver, nproccess, interval, transferred_bytes, bits/s
20201111223127,10.0.0.0,60737,10.0.0.1,5201,3,0.0-1.0,2940,23520
20201111223127,10.0.0.3,41806,10.0.0.1,5201,3,0.0-1.0,2940,23520
20201111223127,10.0.0.2,35983,10.0.0.1,5201,3,0.0-1.0,2940,23520
20201111223127,10.0.0.4,57720,10.0.0.1,5201,3,0.0-1.0,2940,23520
20201111223127,10.0.0.5,46865,10.0.0.1,5201,3,0.0-1.0,2940,23520
20201111223127,10.0.0.6,36731,10.0.0.1,5201,3,0.0-1.0,2940,23520
20201111223127,10.0.0.7,33611,10.0.0.1,5201,3,0.0-1.0,2940,23520
20201111223127,10.0.0.8,59564,10.0.0.1,5201,3,0.0-1.0,2940,23520
20201111223127,10.0.0.9,37807,10.0.0.1,5201,3,0.0-1.0,2940,23520
20201111223127,10.0.0.11,58759,10.0.0.1,5201,3,0.0-1.0,2940,23520
20201111223127,10.0.0.10,39903,10.0.0.1,5201,3,0.0-1.0,2940,23520
20201111223127,10.0.0.0,42750,10.0.0.2,5201,3,0.0-1.0,2940,23520
20201111223127,10.0.0.1,39501,10.0.0.2,5201,3,0.0-1.0,2940,23520
20201111223127,10.0.0.3,38892,10.0.0.2,5201,3,0.0-1.0,2940,23520
20201111223127,10.0.0.5,47153,10.0.0.2,5201,3,0.0-1.0,2940,23520
20201111223127,10.0.0.6,44487,10.0.0.2,5201,3,0.0-1.0,2940,23520
20201111223127,10.0.0.8,55519,10.0.0.2,5201,3,0.0-1.0,2940,23520
20201111223127,10.0.0.10,47277,10.0.0.2,5201,3,0.0-1.0,2940,23520
20201111223127,10.0.0.9,45096,10.0.0.2,5201,3,0.0-1.0,2940,23520
20201111223127,10.0.0.11,59943,10.0.0.2,5201,3,0.0-1.0,2940,23520
20201111223127,10.0.0.0,58171,10.0.0.3,5201,3,0.0-1.0,2940,23520
20201111223127,10.0.0.1,57600,10.0.0.3,5201,3,0.0-1.0,2940,23520
20201111223127,10.0.0.2,55820,10.0.0.3,5201,3,0.0-1.0,2940,23520
20201111223127,10.0.0.4,45794,10.0.0.3,5201,3,0.0-1.0,2940,23520
20201111223127,10.0.0.5,41373,10.0.0.3,5201,3,0.0-1.0,2940,23520
20201111223127,10.0.0.9,33258,10.0.0.3,5201,3,0.0-1.0,2940,23520
20201111223127,10.0.0.8,46576,10.0.0.3,5201,3,0.0-1.0,2940,23520
20201111223127,10.0.0.6,51216,10.0.0.3,5201,3,0.0-1.0,2940,23520
20201111223127,10.0.0.7,41662,10.0.0.3,5201,3,0.0-1.0,2940,23520
20201111223127,10.0.0.10,53773,10.0.0.3,5201,3,0.0-1.0,2940,23520
20201111223127,10.0.0.11,43886,10.0.0.3,5201,3,0.0-1.0,2940,23520
20201111223127,10.0.0.0,37933,10.0.0.4,5201,3,0.0-1.0,2940,23520
20201111223127,10.0.0.1,58866,10.0.0.4,5201,3,0.0-1.0,2940,23520
20201111223127,10.0.0.6,48564,10.0.0.4,5201,3,0.0-1.0,2940,23520
20201111223127,10.0.0.2,38263,10.0.0.4,5201,3,0.0-1.0,2940,23520
20201111223127,10.0.0.7,34517,10.0.0.4,5201,3,0.0-1.0,2940,23520
20201111223127,10.0.0.8,46760,10.0.0.4,5201,3,0.0-1.0,2940,23520
20201111223127,10.0.0.3,37319,10.0.0.4,5201,3,0.0-1.0,2940,23520
20201111223127,10.0.0.9,35601,10.0.0.4,5201,3,0.0-1.0,2940,23520
20201111223127,10.0.0.10,53126,10.0.0.4,5201,3,0.0-1.0,2940,23520
20201111223127,10.0.0.5,34392,10.0.0.4,5201,3,0.0-1.0,2940,23520
20201111223127,10.0.0.0,46945,10.0.0.5,5201,3,0.0-1.0,2940,23520
20201111223127,10.0.0.11,37413,10.0.0.4,5201,3,0.0-1.0,2940,23520
20201111223127,10.0.0.1,39301,10.0.0.5,5201,3,0.0-1.0,2940,23520
20201111223127,10.0.0.2,42078,10.0.0.5,5201,3,0.0-1.0,2940,23520
20201111223127,10.0.0.3,38458,10.0.0.5,5201,3,0.0-1.0,2940,23520
20201111223127,10.0.0.4,39761,10.0.0.5,5201,3,0.0-1.0,2940,23520
20201111223127,10.0.0.6,54230,10.0.0.5,5201,3,0.0-1.0,2940,23520
20201111223127,10.0.0.8,49024,10.0.0.5,5201,3,0.0-1.0,2940,23520
20201111223127,10.0.0.7,52987,10.0.0.5,5201,3,0.0-1.0,2940,23520
20201111223127,10.0.0.9,37665,10.0.0.5,5201,3,0.0-1.0,2940,23520
20201111223127,10.0.0.10,44577,10.0.0.5,5201,3,0.0-1.0,2940,23520
20201111223127,10.0.0.0,56316,10.0.0.6,5201,3,0.0-1.0,2940,23520
20201111223127,10.0.0.11,57004,10.0.0.5,5201,3,0.0-1.0,2940,23520
20201111223127,10.0.0.1,58636,10.0.0.6,5201,3,0.0-1.0,2940,23520
20201111223127,10.0.0.2,51616,10.0.0.6,5201,3,0.0-1.0,2940,23520
20201111223127,10.0.0.3,42787,10.0.0.6,5201,3,0.0-1.0,2940,23520
20201111223127,10.0.0.5,49397,10.0.0.6,5201,3,0.0-1.0,2940,23520
20201111223127,10.0.0.4,53163,10.0.0.6,5201,3,0.0-1.0,2940,23520
20201111223127,10.0.0.7,47711,10.0.0.6,5201,3,0.0-1.0,2940,23520
20201111223127,10.0.0.10,47154,10.0.0.6,5201,3,0.0-1.0,2940,23520
20201111223127,10.0.0.8,56142,10.0.0.6,5201,3,0.0-1.0,2940,23520
20201111223127,10.0.0.9,52813,10.0.0.6,5201,3,0.0-1.0,2940,23520
20201111223127,10.0.0.11,34157,10.0.0.6,5201,3,0.0-1.0,2940,23520
20201111223127,10.0.0.0,36861,10.0.0.7,5201,3,0.0-1.0,2940,23520
20201111223127,10.0.0.4,34340,10.0.0.2,5201,3,0.0-1.0,5880,47040
20201111223127,10.0.0.1,34522,10.0.0.7,5201,3,0.0-1.0,2940,23520
20201111223127,10.0.0.3,34682,10.0.0.7,5201,3,0.0-1.0,2940,23520
20201111223127,10.0.0.6,43520,10.0.0.7,5201,3,0.0-1.0,2940,23520
20201111223127,10.0.0.9,36486,10.0.0.7,5201,3,0.0-1.0,2940,23520
20201111223127,10.0.0.8,54114,10.0.0.7,5201,3,0.0-1.0,2940,23520
20201111223127,10.0.0.11,48067,10.0.0.7,5201,3,0.0-1.0,2940,23520
20201111223127,10.0.0.1,38045,10.0.0.8,5201,3,0.0-1.0,2940,23520
20201111223127,10.0.0.10,38973,10.0.0.7,5201,3,0.0-1.0,2940,23520
20201111223127,10.0.0.0,54029,10.0.0.8,5201,3,0.0-1.0,2940,23520
20201111223127,10.0.0.3,41468,10.0.0.8,5201,3,0.0-1.0,2940,23520
20201111223127,10.0.0.5,53608,10.0.0.7,5201,3,0.0-1.0,2940,23520
20201111223127,10.0.0.4,50191,10.0.0.8,5201,3,0.0-1.0,2940,23520
